xr_person_id,zh_state,zh_district,xh_urban_rural,zh_urban_rural2,zh_member_number,xr_age_final,xr_gender_final,xr_has_aadhaar,zh_state_district,zr_elderly,zh_homeless,zh_laborer,zh_migrant_laborer,zr_third_gender,zh_secc_classification,xh_mem_weight,zh_hh_num_members,zh_caste,zh_religion,xh_enroled_in_school_flag,xh_school_admission_aadhaar_mandatory,xh_school_admission_aadhaar_of_child,xh_school_admission_aadhaar_of_father,xh_school_admission_aadhaar_of_guardian,xh_school_admission_aadhaar_of_mother,xh_school_admission_denied_due_to_aadhaar,xh_school_admission_produced_aadhaar_flag,xh_school_has_mdm_program_flag,xh_school_mdm_denied_due_to_aadhaar,xh_want_to_enrol_in_school,zh_denial_not_enroled_in_school_reason,zh_school_enrolment_date,zr_age_bucket1,zr_age_bucket2,zr_age_bucket3,zr_age_bucket4
P0104271081,Bihar,Gopalganj,Rural (S),Rural,2,39,Female,Yes,Bihar_Gopalganj,No,No,Yes,No,No,Automatically excluded,86140.2457846739,4,SC,Hindu,,,,,,,,,,,,,,26 to 40 years old,18 to 70 years old,Adults,Adults
P0104271081,Bihar,Gopalganj,Rural (S),Rural,3,18,Male,Yes,Bihar_Gopalganj,No,No,Yes,No,No,Automatically excluded,86140.2457846739,4,SC,Hindu,,,,,,,,,,,,,,18 to 25 years old,18 to 70 years old,Adults,Adults
P0104271081,Bihar,Gopalganj,Rural (S),Rural,4,17,Female,Yes,Bihar_Gopalganj,No,No,Yes,No,No,Automatically excluded,111493.669287411,4,SC,Hindu,Yes,Mandatory,Child,,,,Yes,Yes,No,,,,2019-04-15,6 to 17 years old,6 to 17 years old,Children,Children
P0104271117,Madhya Pradesh,W.Nimar,Rural (S),Rural,1,70,Male,Yes,Madhya Pradesh_W.Nimar,Yes,No,No,No,No,General,49275.210898293,2,Non-vulnerable ST,Hindu,,,,,,,,,,,,,,56 to 70 years old,18 to 70 years old,Adults,Adults
P0104271117,Madhya Pradesh,W.Nimar,Rural (S),Rural,2,65,Female,Yes,Madhya Pradesh_W.Nimar,Yes,No,No,No,No,General,49275.210898293,2,Non-vulnerable ST,Hindu,,,,,,,,,,,,,,56 to 70 years old,18 to 70 years old,Adults,Adults
P0104271139,Maharashtra,Aurangabad,Rural (S),Rural,1,65,Male,Yes,Maharashtra_Aurangabad,No,No,Yes,No,No,Automatically excluded,76236.6713229508,4,OBC,Hindu,,,,,,,,,,,,,,56 to 70 years old,18 to 70 years old,Adults,Adults
P0104271139,Maharashtra,Aurangabad,Rural (S),Rural,2,59,Female,Yes,Maharashtra_Aurangabad,No,No,Yes,No,No,Automatically excluded,76236.6713229508,4,OBC,Hindu,,,,,,,,,,,,,,56 to 70 years old,18 to 70 years old,Adults,Adults
P0104271139,Maharashtra,Aurangabad,Rural (S),Rural,3,24,Male,Yes,Maharashtra_Aurangabad,No,No,Yes,No,No,Automatically excluded,76236.6713229508,4,OBC,Hindu,,,,,,,,,,,,,,18 to 25 years old,18 to 70 years old,Adults,Adults
P0104271139,Maharashtra,Aurangabad,Rural (S),Rural,4,20,Male,Yes,Maharashtra_Aurangabad,No,No,Yes,No,No,Automatically excluded,76236.6713229508,4,OBC,Hindu,,,,,,,,,,,,,,18 to 25 years old,18 to 70 years old,Adults,Adults
P0104271206,Madhya Pradesh,W.Nimar,Rural (S),Rural,1,35,Male,Yes,Madhya Pradesh_W.Nimar,No,No,Yes,No,No,General,49275.210898293,3,OBC,Hindu,,,,,,,,,,,,,,26 to 40 years old,18 to 70 years old,Adults,Adults
P0104271206,Madhya Pradesh,W.Nimar,Rural (S),Rural,2,30,Female,Yes,Madhya Pradesh_W.Nimar,No,No,Yes,No,No,General,49275.210898293,3,OBC,Hindu,,,,,,,,,,,,,,26 to 40 years old,18 to 70 years old,Adults,Adults
P0104271206,Madhya Pradesh,W.Nimar,Rural (S),Rural,3,5,Female,Yes,Madhya Pradesh_W.Nimar,No,No,Yes,No,No,General,59207.9965270765,3,OBC,Hindu,No,,,,,,,,,,No,,,0 to 5 years old,0 to 5 years old,Children,Children
P0104271418,Odisha,Gajapati,Rural (S),Rural,1,22,Male,Yes,Odisha_Gajapati,No,No,Yes,No,No,Automatically included,65725.6536696887,3,Vulnerable ST,Hindu,,,,,,,,,,,,,,18 to 25 years old,18 to 70 years old,Adults,Adults
P0104271418,Odisha,Gajapati,Rural (S),Rural,2,21,Female,Yes,Odisha_Gajapati,No,No,Yes,No,No,Automatically included,65725.6536696887,3,Vulnerable ST,Hindu,,,,,,,,,,,,,,18 to 25 years old,18 to 70 years old,Adults,Adults
P0104271418,Odisha,Gajapati,Rural (S),Rural,3,1,Male,No,Odisha_Gajapati,No,No,Yes,No,No,Automatically included,88954.7024037579,3,Vulnerable ST,Hindu,No,,,,,,,,,,No,,,0 to 5 years old,0 to 5 years old,Children,Children
P0104271474,Rajasthan,Udaipur,Urban (S),Urban,1,45,Male,Yes,Rajasthan_Udaipur,No,No,Yes,No,No,General,49339.0993247189,5,OBC,Hindu,,,,,,,,,,,,,,41 to 55 years old,18 to 70 years old,Adults,Adults
P0104271474,Rajasthan,Udaipur,Urban (S),Urban,2,40,Female,Yes,Rajasthan_Udaipur,No,No,Yes,No,No,General,49339.0993247189,5,OBC,Hindu,,,,,,,,,,,,,,26 to 40 years old,18 to 70 years old,Adults,Adults
P0104271474,Rajasthan,Udaipur,Urban (S),Urban,3,15,Female,Yes,Rajasthan_Udaipur,No,No,Yes,No,No,General,18439.9465389816,5,OBC,Hindu,Yes,Mandatory,Child,,,,No,Yes,No,,,,2009-07-15,6 to 17 years old,6 to 17 years old,Children,Children
